University ,Year ,Ranking ,Tier 
Harvard,2020,5,
Harvard,2020,1,3
Harvard,2020,3,
Harvard,2020,8,
Harvard,2020,1,1
Harvard,2020,3,
Harvard,2020,1,1
Harvard,2020,6,
Harvard,2020,2,
Harvard,2020,8,
Harvard,2020,10,
Harvard,2020,3,
Harvard,2020,10,
Harvard,2020,1,1
Harvard,2020,9,
Harvard,2020,3,
Harvard,2020,1,3
Harvard,2020,1,2
Harvard,2020,1,1
Harvard,2020,5,
Harvard,2020,1,2
Harvard,2020,8,
Harvard,2019,3,
Harvard,2019,9,
Harvard,2019,3,
Harvard,2019,6,
Harvard,2019,8,
Harvard,2019,1,2
Harvard,2019,1,3
Harvard,2019,1,1
Harvard,2019,1,2
Harvard,2019,1,3
Harvard,2019,1,1
Harvard,2019,8,
Harvard,2019,5,
Harvard,2019,1,3
Harvard,2019,5,
Harvard,2019,1,3
Harvard,2019,5,
Harvard,2019,8,
Harvard,2019,1,3
Harvard,2019,1,2
Harvard,2019,8,
Harvard,2019,1,1
Harvard,2019,1,1
Harvard,2019,10,
Harvard,2019,5,
Harvard,2019,2,
Harvard,2018,1,1
Harvard,2018,1,1
Harvard,2018,6,
Harvard,2018,6,
Harvard,2018,3,
Harvard,2018,1,3
Harvard,2018,1,1
Harvard,2018,8,
Harvard,2018,1,3
Harvard,2018,5,
Harvard,2018,1,1
Harvard,2018,5,
Harvard,2018,3,
Harvard,2018,1,3
Harvard,2018,6,
Harvard,2018,1,1
Harvard,2018,1,3
Harvard,2018,10,
Harvard,2018,2,
Harvard,2018,1,1
Harvard,2018,1,1
Harvard,2018,1,1
Harvard,2018,1,1
Harvard,2018,1,2
Harvard,2018,10,
Harvard,2018,6,
Harvard,2018,5,
Harvard,2018,5,
Harvard,2018,6,
Harvard,2018,10,
Harvard,2018,6,
Harvard,2018,10,
Harvard,2017,1,2
Harvard,2017,1,2
Harvard,2017,1,3
Harvard,2017,2,
Harvard,2017,10,
Harvard,2017,10,
Harvard,2017,6,
Harvard,2017,9,
Harvard,2017,10,
Harvard,2017,1,1
Harvard,2017,1,3
Harvard,2017,1,3
Harvard,2017,1,3
Harvard,2017,1,3
Harvard,2017,4,
Harvard,2017,5,
Harvard,2017,1,1
Harvard,2017,1,1
Harvard,2017,1,1
Harvard,2017,10,
Harvard,2017,5,
Harvard,2017,1,1
Harvard,2017,1,1
Harvard,2017,1,1
Harvard,2017,1,1
Harvard,2017,5,
Harvard,2016,10,
Harvard,2016,10,
Harvard,2016,10,
Harvard,2016,5,
Harvard,2016,1,2
Harvard,2016,2,
Harvard,2016,2,
Harvard,2016,5,
Harvard,2016,9,
Harvard,2016,10,
Harvard,2016,1,3
Harvard,2016,1,3
Harvard,2016,1,3
Harvard,2016,1,3
Harvard,2016,1,3
Harvard,2016,1,3
Harvard,2016,3,
Harvard,2016,4,
Harvard,2016,3,
Harvard,2016,1,1
Harvard,2016,1,2
Harvard,2016,6,
Harvard,2016,1,1
Harvard,2016,1,1
Harvard,2016,6,
Harvard,2016,6,
Harvard,2016,1,1
Harvard,2016,6,
Harvard,2016,1,1
Harvard,2016,1,1
Harvard,2016,1,1
Harvard,2015,1,1
Harvard,2015,1,1
Harvard,2015,1,1
Harvard,2015,5,
Harvard,2015,5,
Harvard,2015,1,1
Harvard,2015,2,
Harvard,2015,10,
Harvard,2015,6,
Harvard,2015,1,3
Harvard,2015,1,3
Harvard,2015,1,3
Harvard,2015,1,1
Harvard,2015,1,3
Harvard,2015,1,3
Harvard,2015,3,
Harvard,2015,3,
Harvard,2015,1,1
Harvard,2015,1,1
Harvard,2015,6,
Harvard,2015,1,1
Harvard,2015,10,
Harvard,2015,1,1
Harvard,2015,1,2
Harvard,2015,1,1
Harvard,2014,6,
Harvard,2014,1,1
Harvard,2014,1,1
Harvard,2014,5,
Harvard,2014,9,
Harvard,2014,1,2
Harvard,2014,3,
Harvard,2014,1,2
Harvard,2014,1,3
Harvard,2014,2,
Harvard,2014,2,
Harvard,2014,1,3
Harvard,2014,1,3
Harvard,2014,1,1
Harvard,2014,1,2
Harvard,2014,3,
Harvard,2014,4,
Harvard,2014,1,1
Harvard,2014,1,2
Harvard,2014,5,
Harvard,2014,10,
Harvard,2014,1,1
Harvard,2014,6,
Harvard,2014,1,1
Harvard,2014,1,1
Harvard,2014,10,
Harvard,2014,10,
Harvard,2014,1,2
Harvard,2013,1,1
Harvard,2013,6,
Harvard,2013,1,1
Harvard,2013,1,2
Harvard,2013,6,
Harvard,2013,3,
Harvard,2013,1,3
Harvard,2013,1,3
Harvard,2013,1,3
Harvard,2013,2,
Harvard,2013,2,
Harvard,2013,2,
Harvard,2013,1,2
Harvard,2013,1,3
Harvard,2013,1,1
Harvard,2013,1,3
Harvard,2013,1,3
Harvard,2013,3,
Harvard,2013,3,
Harvard,2013,1,1
Harvard,2013,1,1
Harvard,2013,1,1
Harvard,2013,1,2
Harvard,2013,1,2
Harvard,2012,1,1
Harvard,2012,1,1
Harvard,2012,6,
Harvard,2012,6,
Harvard,2012,9,
Harvard,2012,1,1
Harvard,2012,1,3
Harvard,2012,1,3
Harvard,2012,2,
Harvard,2012,3,
Harvard,2012,1,3
Harvard,2012,1,3
Harvard,2012,1,3
Harvard,2012,1,3
Harvard,2012,1,3
Harvard,2012,1,3
Harvard,2012,3,
Harvard,2012,3,
Harvard,2012,3,
Harvard,2012,1,1
Harvard,2012,5,
Harvard,2012,1,1
Harvard,2012,6,
Harvard,2012,1,1
Harvard,2012,1,1
Harvard,2012,6,
Harvard,2011,1,1
Harvard,2011,1,1
Harvard,2011,1,1
Harvard,2011,1,1
Harvard,2011,1,1
Harvard,2011,9,
Harvard,2011,9,
Harvard,2011,6,
Harvard,2011,1,1
Harvard,2011,1,1
Harvard,2011,3,
Harvard,2011,3,
Harvard,2011,1,3
Harvard,2011,1,1
Harvard,2011,1,3
Harvard,2011,1,3
Harvard,2011,2,
Harvard,2011,1,3
Harvard,2011,1,3
Harvard,2011,3,
Harvard,2011,1,2
Harvard,2011,1,1
Harvard,2011,1,1
Harvard,2011,1,1
Harvard,2011,6,
Harvard,2011,1,1
Harvard,2011,1,1
Harvard,2011,1,1
Harvard,2011,5,
Harvard,2010,6,
Harvard,2010,1,1
Harvard,2010,1,1
Harvard,2010,1,2
Harvard,2010,1,2
Harvard,2010,1,2
Harvard,2010,1,1
Harvard,2010,1,1
Harvard,2010,3,
Harvard,2010,1,3
Harvard,2010,1,3
Harvard,2010,1,3
Harvard,2010,2,
Harvard,2010,2,
Harvard,2010,2,
Harvard,2010,2,
Harvard,2010,4,
Harvard,2010,4,
Harvard,2010,1,3
Harvard,2010,4,
Harvard,2010,1,1
Harvard,2010,1,2
Harvard,2010,1,2
Harvard,2010,6,
Harvard,2009,1,1
Harvard,2009,1,1
Harvard,2009,1,1
Harvard,2009,9,
Harvard,2009,1,1
Harvard,2009,1,1
Harvard,2009,1,1
Harvard,2009,1,1
Harvard,2009,6,
Harvard,2009,6,
Harvard,2009,1,1
Harvard,2009,1,2
Harvard,2009,1,2
Harvard,2009,3,
Harvard,2009,1,3
Harvard,2009,1,3
Harvard,2009,1,3
Harvard,2009,1,3
Harvard,2009,1,1
Harvard,2009,1,1
Harvard,2009,2,
Harvard,2009,1,3
Harvard,2009,1,3
Harvard,2009,2,
Harvard,2009,1,2
Harvard,2009,2,
Harvard,2009,3,
Harvard,2009,6,
Harvard,2009,10,
Harvard,2008,1,2
Harvard,2008,5,
Harvard,2008,5,
Harvard,2008,1,1
Harvard,2008,1,1
Harvard,2008,1,1
Harvard,2008,6,
Harvard,2008,6,
Harvard,2008,9,
Harvard,2008,1,1
Harvard,2008,1,1
Harvard,2008,1,1
Harvard,2008,1,1
Harvard,2008,6,
Harvard,2008,3,
Harvard,2008,3,
Harvard,2008,4,
Harvard,2008,3,
Harvard,2008,1,3
Harvard,2008,1,3
Harvard,2008,1,3
Harvard,2008,1,3
Harvard,2008,1,3
Harvard,2008,2,
Harvard,2008,2,
Harvard,2008,3,
Harvard,2008,5,
Harvard,2008,6,
Harvard,2008,1,1
Harvard,2008,1,1
Harvard,2008,1,3
Harvard,2007,1,3
Harvard,2007,1,1
Harvard,2007,1,1
